Pos,No.,Name,Class,Laps,Total_Time,Diff,Gap
1,33,Sandro Tavartkiladze,GTCC,10,20:04.4,,
2,79,Sandro Kajaia,GTCC,10,20:07.2,2.803,2.803
3,15,Tornike Kiknavelidze,GTCC,10,20:08.8,4.469,1.666
4,10,Giorgi Bezhitashvili,GTCC,10,20:10.7,6.373,1.904
5,22,Shalva Tsikhelashvili,GTCC,10,20:17.4,13.08,6.707
6,75,Irakli Kukhianidze,GTCC,10,20:17.6,13.275,0.195
7,16,Vasil Chonishvili,GTCC,10,20:17.7,13.337,0.062
8,77,Lado Kukhianidze,GTCC,10,20:18.9,14.546,1.209
9,17,Giorgi Tsamalashvili,GTCC,10,20:20.1,15.771,1.225
10,14,Giorgi Kiknadze,GTCC,10,20:21.1,16.733,0.962
11,23,Irakli Kakauridze,GTCC,10,20:30.8,26.402,9.669
12,21,David Arjevanidze,GTCC,10,20:41.5,37.134,10.732
13,13,Levan Kobakhidze,GTCC,10,20:43.5,39.183,2.049
14,9,Shalva Khukhashvili,GTCC,10,20:45.3,40.921,1.738
15,98,David Menteshashvili,GTCC,10,20:48.0,43.648,2.727
16,71,Giorgi Metepshishvili,GTCC,10,21:13.5,01:09.1,25.497
17,20,Tengo Gogilashvili,GTCC,2,04:27.0,8 Laps 8 Laps,
18,26,Ushangi Nanava,GTCC,1,02:13.3,9 Laps 1 Lap,
